iter	Passed	Remaining
438	1377	1760
439	1380	1757
440	1383	1753
441	1387	1752
442	1391	1749
443	1394	1745
444	1396	1742
445	1399	1738
446	1403	1736
447	1406	1733
448	1409	1729
449	1412	1726
450	1415	1722
451	1418	1719
452	1421	1716
453	1424	1713
454	1427	1709
455	1429	1705
456	1432	1702
457	1435	1699
458	1438	1695
459	1441	1692
460	1444	1688
461	1447	1685
462	1449	1681
463	1452	1678
464	1455	1674
465	1458	1671
466	1461	1667
467	1463	1663
468	1466	1660
469	1469	1657
470	1472	1653
471	1475	1650
472	1477	1646
473	1480	1643
474	1483	1639
475	1486	1636
476	1489	1632
477	1492	1629
478	1495	1626
479	1497	1622
480	1500	1619
481	1503	1615
482	1505	1611
483	1508	1608
484	1512	1605
485	1515	1602
486	1518	1599
487	1522	1597
488	1524	1593
489	1527	1589
490	1530	1586
491	1533	1583
492	1537	1580
493	1541	1578
494	1544	1575
495	1547	1572
496	1550	1569
497	1553	1566
498	1556	1562
499	1560	1560
500	1563	1556
501	1566	1553
502	1569	1550
503	1572	1547
504	1575	1544
505	1579	1542
506	1582	1539
507	1587	1537
508	1590	1534
509	1594	1531
510	1597	1528
511	1599	1524
512	1603	1522
513	1606	1518
514	1609	1516
515	1613	1513
516	1616	1510
517	1619	1506
518	1622	1503
519	1624	1499
520	1627	1496
521	1630	1493
522	1633	1489
523	1636	1486
524	1639	1483
525	1642	1480
526	1645	1476
527	1648	1473
528	1650	1469
529	1653	1466
530	1656	1463
531	1659	1459
532	1661	1456
533	1664	1452
534	1667	1449
535	1670	1445
536	1673	1442
537	1675	1439
538	1678	1435
539	1681	1432
540	1683	1428
541	1686	1425
542	1689	1421
543	1692	1418
544	1695	1415
545	1698	1412
546	1701	1408
547	1704	1405
548	1706	1402
549	1709	1398
550	1712	1395
551	1715	1392
552	1718	1388
553	1721	1385
554	1723	1382
555	1726	1379
556	1730	1376
557	1733	1373
558	1737	1370
559	1739	1367
560	1742	1363
561	1745	1360
562	1748	1357
563	1751	1354
564	1754	1351
565	1757	1347
566	1758	1342
567	1761	1339
568	1764	1336
569	1767	1333
570	1770	1330
571	1773	1327
572	1776	1324
573	1777	1319
574	1781	1317
575	1785	1314
576	1788	1311
577	1792	1308
578	1795	1305
579	1796	1301
580	1799	1297
581	1802	1294
582	1805	1291
583	1808	1288
584	1811	1285
585	1814	1282
586	1817	1278
587	1820	1275
588	1823	1272
589	1826	1269
590	1829	1265
591	1831	1262
592	1834	1259
593	1837	1255
594	1838	1251
595	1841	1248
596	1842	1243
597	1845	1240
598	1848	1237
599	1851	1234
600	1853	1230
601	1856	1227
602	1859	1224
603	1862	1220
604	1864	1217
605	1867	1214
606	1870	1211
607	1873	1207
608	1876	1204
609	1879	1201
610	1881	1198
611	1884	1194
612	1887	1191
613	1890	1188
614	1892	1184
615	1895	1181
616	1898	1178
617	1901	1175
618	1904	1171
619	1906	1168
620	1909	1165
621	1912	1162
622	1914	1158
623	1917	1155
624	1920	1152
625	1926	1150
626	1929	1147
627	1933	1145
628	1939	1143
629	1943	1141
630	1948	1139
631	1951	1136
632	1955	1133
633	1958	1130
634	1962	1128
635	1974	1130
636	1979	1128
637	1985	1126
638	1990	1124
639	1996	1123
640	2001	1120
641	2005	1118
642	2013	1118
643	2017	1115
644	2025	1115
645	2034	1114
646	2040	1113
647	2052	1115
648	2060	1114
649	2068	1113
650	2076	1112
651	2084	1112
652	2091	1111
653	2098	1110
654	2115	1114
655	2122	1113
656	2147	1120
657	2151	1118
658	2156	1115
659	2160	1112
660	2164	1109
661	2167	1106
662	2172	1104
663	2175	1100
664	2176	1096
665	2181	1093
666	2186	1091
667	2190	1088
668	2194	1085
669	2199	1083
670	2203	1080
671	2207	1077
672	2217	1077
673	2223	1075
674	2232	1074
675	2241	1074
676	2247	1072
677	2262	1074
678	2266	1071
679	2278	1072
680	2289	1072
681	2295	1070
682	2321	1077
683	2340	1081
684	2346	1079
685	2365	1082
686	2371	1080
687	2380	1079
688	2395	1081
689	2407	1081
690	2417	1081
691	2423	1078
692	2442	1082
693	2452	1081
694	2475	1086
695	2477	1082
696	2484	1079
697	2487	1076
698	2491	1073
699	2496	1069
700	2500	1066
701	2505	1063
702	2508	1059
703	2512	1056
704	2516	1053
705	2520	1049
706	2529	1048
707	2534	1045
708	2536	1041
709	2541	1037
710	2545	1034
711	2549	1031
712	2553	1027
713	2559	1025
714	2576	1027
715	2587	1026
716	2592	1023
717	2603	1022
718	2611	1020
719	2625	1021
720	2631	1018
721	2642	1017
722	2650	1015
723	2662	1015
724	2672	1013
725	2682	1012
726	2698	1013
727	2708	1012
728	2721	1011
729	2730	1009
730	2744	1010
731	2751	1007
732	2754	1003
733	2757	999
734	2760	995
735	2763	991
736	2766	987
737	2769	983
738	2771	979
739	2775	975
740	2777	970
741	2781	967
742	2784	963
743	2785	958
744	2788	954
745	2791	950
746	2794	946
747	2797	942
748	2801	938
749	2805	935
750	2808	931
751	2811	927
752	2814	923
753	2817	919
754	2820	915
755	2824	911
756	2827	907
757	2830	903
758	2834	900
759	2839	896
760	2847	894
761	2854	891
762	2867	890
763	2878	889
764	2884	886
765	2893	883
766	2898	880
767	2906	878
768	2915	875
769	2930	875
770	2941	873
771	2947	870
772	2959	868
773	2972	867
774	2977	864
775	2983	861
776	2988	857
777	2992	853
778	2997	850
779	3001	846
780	3006	843
781	3011	839
782	3016	835
783	3020	832
784	3025	828
785	3029	824
786	3033	821
787	3037	817
788	3040	813
789	3044	809
790	3048	805
791	3051	801
792	3055	797
793	3058	793
794	3062	789
795	3067	786
796	3071	782
797	3075	778
798	3078	774
799	3082	770
800	3085	766
801	3088	762
802	3091	758
803	3094	754
804	3098	750
805	3102	746
806	3106	742
807	3108	738
808	3111	734
809	3115	730
810	3119	726
811	3122	723
812	3128	719
813	3131	715
814	3135	711
815	3139	707
816	3144	704
817	3148	700
818	3152	696
819	3156	692
820	3159	688
821	3163	685
822	3167	681
823	3171	677
824	3176	673
825	3179	669
826	3183	665
827	3187	662
828	3192	658
829	3195	654
830	3199	650
831	3202	646
832	3205	642
833	3209	638
834	3212	634
835	3216	631
836	3221	627
837	3225	623
838	3228	619
839	3231	615
840	3235	611
841	3238	607
842	3242	603
843	3246	600
844	3249	596
845	3252	592
846	3255	588
847	3260	584
848	3263	580
849	3266	576
850	3270	572
851	3273	568
852	3276	564
853	3279	560
854	3283	556
855	3285	552
856	3289	548
857	3293	545
858	3297	541
859	3300	537
860	3303	533
861	3306	529
862	3309	525
863	3313	521
864	3316	517
865	3320	513
866	3324	509
867	3328	506
868	3332	502
869	3336	498
870	3339	494
871	3343	490
872	3346	486
873	3351	483
874	3355	479
875	3359	475
876	3363	471
877	3367	467
878	3371	464
879	3374	460
880	3377	456
881	3382	452
882	3386	448
883	3390	444
884	3393	440
885	3399	437
886	3402	433
887	3405	429
888	3409	425
889	3412	421
890	3416	417
891	3419	414
892	3422	410
893	3425	406
894	3428	402
895	3432	398
896	3435	394
897	3438	390
898	3440	386
899	3443	382
900	3447	378
901	3449	374
902	3452	370
903	3455	366
904	3458	363
905	3461	359
906	3464	355
907	3467	351
908	3470	347
909	3473	343
910	3476	339
911	3479	335
912	3482	331
913	3484	327
914	3487	324
915	3490	320
916	3494	316
917	3497	312
918	3499	308
919	3502	304
920	3505	300
921	3508	296
922	3513	293
923	3516	289
924	3519	285
925	3522	281
926	3525	277
927	3528	273
928	3531	269
929	3534	266
930	3537	262
931	3540	258
932	3543	254
933	3546	250
934	3549	246
935	3552	242
936	3555	239
937	3558	235
938	3562	231
939	3565	227
940	3568	223
941	3572	219
942	3575	216
943	3578	212
944	3581	208
945	3584	204
946	3587	200
947	3590	196
948	3592	193
949	3595	189
950	3596	185
951	3599	181
952	3602	177
953	3605	173
954	3607	170
955	3610	166
956	3613	162
957	3616	158
958	3619	154
959	3621	150
960	3624	147
961	3627	143
962	3630	139
963	3633	135
964	3636	131
965	3639	128
966	3641	124
967	3644	120
968	3647	116
969	3650	112
970	3653	109
971	3655	105
972	3658	101
973	3661	97
974	3664	93
975	3667	90
976	3669	86
977	3672	82
978	3675	78
979	3678	75
980	3681	71
981	3683	67
982	3686	63
983	3689	59
984	3691	56
985	3695	52
986	3698	48
987	3701	44
988	3705	41
989	3708	37
990	3711	33
991	3714	29
992	3717	26
993	3720	22
994	3723	18
995	3726	14
996	3729	11
997	3732	7
998	3735	3
999	3738	0
